architecture,is_architecture,author/s,city,country,start_year,end_year,qty_title,qty_paragraph,qty_caption,qty_unassigned,qty,certainty_score,fuctional_type_infered,fuctional_type_classified,uses_wikipedia
Le Siécle de Louis XIV,No,,,,,,,,,,,,,,
palace Split,Yes,the architect/s behind the palace Split,Split,Croatia,1560,1905,0,0,0,1,1,0.9969770312,house,Government Residence and Palace,FALSE
Newgate Gaol,Yes,The Central Criminal Court,London,United Kingdom,1188,1188,0,1,0,0,1,0.9951940775,prison,Penitentiary,TRUE
Ste - Geneviéve,No,,,,,,,,,,,,,,
Métropole,No,,,,,,,,,,,,,,
project c,No,,,,,,,,,,,,,,
Rue de Rivoli,No,,,,,,,,,,,,,,
Arc du Carrousel,Yes,Charles Meynier,Paris,France,1806,1836,0,0,1,0,1,0.965365231,"Arc de Triomphe at the Place de l'Étoile, and, although it is not directly visible from the Place du Carrousel, the Grande Arche de la Défense. Thus, the axis begins and ends with an arch. When the Arc du Carrousel was built, however, an observer in the Place du Carrousel was impeded from any view westward. The central part of the Palais des Tuileries intervened to block the line of sight to the west. When the Tuileries was burned down during the Paris Commune in 1871, and its ruins were swept away, the great axis, as it presently exists, was opened all the way to the Place du Carrousel and the Louvre.",Hippodrome,TRUE
Place Vendéme column,No,,,,,,,,,,,,,,
Brandenburg Gate,Yes,Philipp Gerlach,Berlin,Germany,1788,1791,0,1,0,0,1,0.9996212721,gate,Bridge,TRUE
Leipzigerplatz,No,,,,,,,,,,,,,,
